DOI,Data Name,DatasetURL,Method Key,Data Type,Collection Method,U2,Format,License,Provenance
10.1093/btab664,iHMP Diabetes,ihmpdcc.org,7b741838-131c-43d6-ad92-1740b2d23513,Multi-omics,Clinical longitudinal sampling,Missing data points due to irregular sampling intervals and high biological variability.,RData / CSV,Open Data Commons,Integrative Human Microbiome Project
10.1016/j.cct.2021,Steps for Change,N/A,d6f33158-aad8-47c5-acf3-91b88a471cbc,Wearable/Survey,Accelerometry & Citizen Science App,"Sensor malfunction, battery failure, and non-compliance in citizen science log entries.",JSON / CSV,Restricted (IRB),Steps for Change Project (Stanford)
10.1109/MAES.2021,Global Maritime Data,marinetraffic.com,ff66f67b-b064-4487-af2b-dba2b59f5a1c,AIS/Satellite,RF Transponders & Remote Sensing,"AIS signal shadowing, spoofing, and low temporal resolution of satellite revisits.",GeoJSON / TIFF,Commercial,Maritime Global Sensor Networks
10.1128/mSphere.21,PlasmoMitoCarta,plasmodb.org,dbe5b773-44ab-4ae6-8a0c-db27737bb4c9,Proteomics,Mass Spec & Bioinformatics,Resolution limits of mass spectrometry and experimental noise in protein-protein assays.,TSV / FASTA,Creative Commons,PlasmoDB Database
10.1016/j.inffus.21,SAR Ship Imagery,copernicus.eu,4fec9859-c698-467f-be6d-d8acb43681d5,Radar (SAR),Space (Sentinel-1) & Airborne SAR,"Speckle noise, target scintillation, and resolution trade-offs between air/space platforms.",TIFF / HDF5,ESA Open Access,Copernicus / European Space Agency
10.1016/j.envsoft.22,Urban Air Quality,aqicn.org,8ad1cee9-9f92-4420-ad48-5fe321a98e40,Sensor/Met,IoT Sensor Networks,Calibration drift in low-cost sensors and spatial gaps between fixed monitoring stations.,CSV,Public Domain,Municipal Air Monitoring Network
10.1016/j.isprsjprs.21,Urban Land Use,earthexplorer.usgs.gov,43ee7847-8943-49dd-b516-5b5e4dd4ec98,Optical/Radar,Cloud cover interference in optical bands and geometric distortion in radar backscatter.,,GeoTIFF,Open Access,ESA / USGS Earth Explorer
10.1016/j.cageo.21,Social Media Floods,twitter.com/dev,0b5de03e-376e-45b5-a592-bfba2dbeb7e9,Unstructured Text,API Web Scraping,"Geocoding inaccuracies, spam bots, and uneven user distribution during disaster events.",JSON / TIFF,API Terms,Public Social Media Streams
10.1016/j.autcon.22,Building IoT Energy,N/A,1bc4891e-1c9e-4cdf-9f82-81e3a30e4f75,3D Models/IoT,BIM models & Smart Meters,Connectivity latency in smart meters and outdated geometry/metadata in 3D building models.,XML / IFC,Proprietary,Facility Management Systems
10.1016/j.trc.2021,Multi-modal Traffic,tianchi.aliyun.com,aa3f077c-b7b5-47f8-872f-8abb9ba26f41,GPS/Weather,Loop Detectors & GPS Tracking,"Missing GPS trajectories, sensor outages, and artifacts from aggressive data cleaning.",CSV,Research Use,DiDi / Municipal Transport Bureau
